Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FGP;ThreeP;ThreePA;ThreePP;TwoP;TwoPA;TwoPP;eFGP;FT;FTA;FTP;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;NOM;APE;IMG;IMGT;;
284;A.J. Lawson;SG;22;MIN;1;0;2;1;1;1.000;0;0;;1;1;1.000;1.000;0;0;;0;1;1;0;0;0;0;1;2;a.;lawso;https://www.basketball-reference.com/req/202106291/images/headshots/lawsoa.01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/MIN-2023.png;;
266;Braxton Key;SF;25;DET;3;0;3;0.3;0.3;1.000;0;0;;0.3;0.3;1.000;1.000;0.7;0.7;1.000;0;0.3;0.3;0;0;0;0;0;1.3;br;key;https://www.basketball-reference.com/req/202106291/images/headshots/keybr01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/DET-2023.png;;
443;Chris Silva;PF;26;DAL;1;0;3;1;1;1.000;0;0;;1;1;1.000;1.000;0;0;;0;0;0;0;0;0;1;2;2;ch;silva;https://www.basketball-reference.com/req/202106291/images/headshots/silvach01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/DAL-2023.png;;
88;Justin Champagnie;SF;21;TOR;3;0;3.7;1;1;1.000;0;0;;1;1;1.000;1.000;0;0;;0.3;1;1.3;0.3;0;0;0;0.3;2;ju;champ;https://www.basketball-reference.com/req/202106291/images/headshots/champju01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/TOR-2023.png;;
466;Terry Taylor;PF;23;CHI;5;0;7.2;1.8;2;.900;0.2;0.2;1.000;1.6;1.8;.889;.950;0.2;0.8;.250;1;0.6;1.6;0;0;0.2;0;0.4;4;te;taylo;https://www.basketball-reference.com/req/202106291/images/headshots/taylote01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/CHI-2023.png;;
18;Udoka Azubuike;C;23;UTA;36;4;10;1.6;2;.819;0;0;;1.6;2;.819;.819;0.2;0.6;.350;0.9;2.4;3.3;0.3;0.2;0.4;0.5;0.9;3.5;ud;azubu;https://www.basketball-reference.com/req/202106291/images/headshots/azubuud01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/UTA-2023.png;;
126;Tyler Dorsey;SF;26;DAL;3;0;2.7;1.3;1.7;.800;0.3;0.7;.500;1;1;1.000;.900;0;0;;0.3;0.3;0.7;0;0;0;0;0;3;ty;dorse;https://www.basketball-reference.com/req/202106291/images/headshots/dorsety01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/DAL-2023.png;;
448;Jericho Sims;C;24;NYK;52;16;15.6;1.6;2.1;.776;0;0;.000;1.6;2;.783;.776;0.2;0.3;.750;1.9;2.8;4.7;0.5;0.3;0.5;0.5;1.8;3.4;je;sims;https://www.basketball-reference.com/req/202106291/images/headshots/simsje01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/NYK-2023.png;;
257;DeAndre Jordan;C;34;DEN;39;8;15;2.3;2.9;.765;0;0;1.000;2.2;2.9;.763;.770;0.6;1.2;.458;1.3;3.8;5.2;0.9;0.3;0.6;1.2;1.8;5.1;de;jorda;https://www.basketball-reference.com/req/202106291/images/headshots/jordade01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/DEN-2023.png;;
408;Davon Reed;SG;27;LAL;8;0;3.4;0.4;0.5;.750;0.1;0.3;.500;0.3;0.3;1.000;.875;0.1;0.5;.250;0.1;0.4;0.5;0.5;0.3;0;0;0.4;1;da;reed;https://www.basketball-reference.com/req/202106291/images/headshots/reedda01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/LAL-2023.png;;
286;Saben Lee;PG;23;PHI;2;0;5;1.5;2;.750;0;0.5;.000;1.5;1.5;1.000;.750;0;0;;0;0;0;1;0.5;0;1.5;0.5;3;sa;lee;https://www.basketball-reference.com/req/202106291/images/headshots/leesa01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/PHI-2023.png;;
524;Robert Williams;C;25;BOS;35;20;23.5;3.6;4.9;.747;0;0;.000;3.6;4.8;.751;.747;0.7;1.2;.610;3;5.4;8.3;1.4;0.6;1.4;1;1.9;8;ro;willi;https://www.basketball-reference.com/req/202106291/images/headshots/williro01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/BOS-2023.png;;
156;Daniel Gafford;C;24;WAS;78;47;20.6;3.7;5.1;.732;0;0;;3.7;5.1;.732;.732;1.6;2.4;.679;2.1;3.5;5.6;1.1;0.4;1.3;1.1;2.4;9;da;gaffo;https://www.basketball-reference.com/req/202106291/images/headshots/gaffoda01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/WAS-2023.png;;
395;Dwight Powell;C;31;DAL;76;64;19.2;2.6;3.5;.732;0;0.1;.000;2.6;3.5;.746;.732;1.5;2.2;.667;2;2.2;4.1;0.9;0.6;0.3;0.9;2.8;6.7;dw;powel;https://www.basketball-reference.com/req/202106291/images/headshots/poweldw01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/DAL-2023.png;;
